[epoch 1][217/2188] loss: 0.0000 PSNR_train: 24.3755 SSIM_train: 0.6276
[epoch 1][218/2188] loss: 0.0000 PSNR_train: 23.9305 SSIM_train: 0.6117
[epoch 1][219/2188] loss: 0.0000 PSNR_train: 25.2844 SSIM_train: 0.6512
[epoch 1][220/2188] loss: 0.0000 PSNR_train: 25.1172 SSIM_train: 0.6404
[epoch 1][221/2188] loss: 0.0000 PSNR_train: 24.0509 SSIM_train: 0.6071
[epoch 1][222/2188] loss: 0.0000 PSNR_train: 24.0219 SSIM_train: 0.5934
[epoch 1][223/2188] loss: 0.0000 PSNR_train: 24.4651 SSIM_train: 0.6123
[epoch 1][224/2188] loss: 0.0000 PSNR_train: 25.2009 SSIM_train: 0.6613
[epoch 1][225/2188] loss: 0.0000 PSNR_train: 24.4480 SSIM_train: 0.6355
[epoch 1][226/2188] loss: 0.0000 PSNR_train: 24.2947 SSIM_train: 0.6239
[epoch 1][227/2188] loss: 0.0000 PSNR_train: 24.4932 SSIM_train: 0.6152
[epoch 1][228/2188] loss: 0.0000 PSNR_train: 24.1926 SSIM_train: 0.6077
[epoch 1][229/2188] loss: 0.0000 PSNR_train: 24.1080 SSIM_train: 0.6149
[epoch 1][230/2188] loss: 0.0000 PSNR_train: 24.6223 SSIM_train: 0.6076
[epoch 1][231/2188] loss: 0.0000 PSNR_train: 24.3561 SSIM_train: 0.6178
[epoch 1][232/2188] loss: 0.0000 PSNR_train: 24.6543 SSIM_train: 0.6124
[epoch 1][233/2188] loss: 0.0000 PSNR_train: 23.8529 SSIM_train: 0.6178
[epoch 1][234/2188] loss: 0.0000 PSNR_train: 24.4090 SSIM_train: 0.6433
[epoch 1][235/2188] loss: 0.0000 PSNR_train: 25.0257 SSIM_train: 0.6538
[epoch 1][236/2188] loss: 0.0000 PSNR_train: 24.3544 SSIM_train: 0.6128
[epoch 1][237/2188] loss: 0.0000 PSNR_train: 24.5759 SSIM_train: 0.6034
[epoch 1][238/2188] loss: 0.0000 PSNR_train: 24.1099 SSIM_train: 0.6255
[epoch 1][239/2188] loss: 0.0000 PSNR_train: 24.9422 SSIM_train: 0.6251
[epoch 1][240/2188] loss: 0.0000 PSNR_train: 24.9449 SSIM_train: 0.6197
[epoch 1][241/2188] loss: 0.0000 PSNR_train: 24.6074 SSIM_train: 0.6094
[epoch 1][242/2188] loss: 0.0000 PSNR_train: 24.5860 SSIM_train: 0.6286
[epoch 1][243/2188] loss: 0.0000 PSNR_train: 25.0629 SSIM_train: 0.6489
[epoch 1][244/2188] loss: 0.0000 PSNR_train: 24.7652 SSIM_train: 0.6258
[epoch 1][245/2188] loss: 0.0000 PSNR_train: 24.2593 SSIM_train: 0.6075
[epoch 1][246/2188] loss: 0.0000 PSNR_train: 24.7048 SSIM_train: 0.6181
[epoch 1][247/2188] loss: 0.0000 PSNR_train: 24.8273 SSIM_train: 0.6171
[epoch 1][248/2188] loss: 0.0000 PSNR_train: 24.7656 SSIM_train: 0.6207
[epoch 1][249/2188] loss: 0.0000 PSNR_train: 25.1330 SSIM_train: 0.6251
[epoch 1][250/2188] loss: 0.0000 PSNR_train: 24.9965 SSIM_train: 0.6327
[epoch 1][251/2188] loss: 0.0000 PSNR_train: 24.6651 SSIM_train: 0.5958
[epoch 1][252/2188] loss: 0.0000 PSNR_train: 24.6989 SSIM_train: 0.6431
[epoch 1][253/2188] loss: 0.0000 PSNR_train: 24.8020 SSIM_train: 0.6369
[epoch 1][254/2188] loss: 0.0000 PSNR_train: 24.7631 SSIM_train: 0.6209
[epoch 1][255/2188] loss: 0.0000 PSNR_train: 24.4751 SSIM_train: 0.6216
[epoch 1][256/2188] loss: 0.0000 PSNR_train: 24.5159 SSIM_train: 0.6141
[epoch 1][257/2188] loss: 0.0000 PSNR_train: 24.7950 SSIM_train: 0.6161
[epoch 1][258/2188] loss: 0.0000 PSNR_train: 24.7902 SSIM_train: 0.6072
[epoch 1][259/2188] loss: 0.0000 PSNR_train: 25.1323 SSIM_train: 0.6224
[epoch 1][260/2188] loss: 0.0000 PSNR_train: 24.9711 SSIM_train: 0.6440
[epoch 1][261/2188] loss: 0.0000 PSNR_train: 24.8773 SSIM_train: 0.6337
[epoch 1][262/2188] loss: 0.0000 PSNR_train: 24.6253 SSIM_train: 0.6286
[epoch 1][263/2188] loss: 0.0000 PSNR_train: 25.2301 SSIM_train: 0.6323
[epoch 1][264/2188] loss: 0.0000 PSNR_train: 24.6583 SSIM_train: 0.6249
[epoch 1][265/2188] loss: 0.0000 PSNR_train: 24.6069 SSIM_train: 0.6071
[epoch 1][266/2188] loss: 0.0000 PSNR_train: 24.8467 SSIM_train: 0.6296
[epoch 1][267/2188] loss: 0.0000 PSNR_train: 24.4649 SSIM_train: 0.5914
[epoch 1][268/2188] loss: 0.0000 PSNR_train: 25.0298 SSIM_train: 0.6642
[epoch 1][269/2188] loss: 0.0000 PSNR_train: 24.6733 SSIM_train: 0.6164
[epoch 1][270/2188] loss: 0.0000 PSNR_train: 25.3144 SSIM_train: 0.6504
[epoch 1][271/2188] loss: 0.0000 PSNR_train: 24.9608 SSIM_train: 0.6213
[epoch 1][272/2188] loss: 0.0000 PSNR_train: 24.1699 SSIM_train: 0.6063
[epoch 1][273/2188] loss: 0.0000 PSNR_train: 24.7826 SSIM_train: 0.6271
[epoch 1][274/2188] loss: 0.0000 PSNR_train: 25.1095 SSIM_train: 0.6464
[epoch 1][275/2188] loss: 0.0000 PSNR_train: 24.6766 SSIM_train: 0.6267
[epoch 1][276/2188] loss: 0.0000 PSNR_train: 24.2085 SSIM_train: 0.6175
